observer,sum,count
683569,47,2
1690590,47,1
1663808,46,1
453566,46,2
879015,46,2
397632,46,2
813393,46,2
603570,46,1
914635,46,3
98129,46,2
1645653,46,2
40735,46,3
1683763,46,1
451486,46,1
356115,46,1
1690729,46,1
468579,46,2
1543765,46,1
1498715,46,1
427570,46,2
1687014,46,1
1637172,45,1
767340,45,1
756725,45,2
1244509,45,2
164021,45,4
770979,45,1
1682901,45,1
1544171,45,1
29177,45,2
451463,45,3
919469,45,1
23598,45,1
1653147,45,1
936413,45,2
735917,45,2
1664668,45,1
1069564,45,2
1742316,45,1
18189,44,1
422579,44,3
586965,44,2
841757,44,1
789709,44,2
1675333,44,1
751846,44,1
531369,44,1
918099,44,1
641893,44,3
1669992,44,1
779181,44,2
914664,44,2
454589,44,1
1369955,44,1
1692949,44,1
173265,44,2
1692815,44,1
2818200,44,1
272944,44,1
452267,44,3
382702,44,3
917743,44,1
31076,44,3
2705793,43,1
1683769,43,2
1835665,43,1
39264,43,3
2859418,43,1
889568,43,1
767096,43,1
1664710,43,1
1683376,43,1
2519468,43,1
484431,43,2
405498,43,3
182360,43,2
919760,43,2
921545,43,1
426185,43,3
1101877,43,2
862907,43,1
20465,43,1
450825,43,1
841756,43,1
957498,43,1
143037,43,1
1243210,43,1
1484415,43,1
1645515,43,1
750135,43,1
1650050,43,1
1484417,43,1
1768552,43,1
1691205,43,1
2788376,43,1
1698715,43,1
834926,43,2
142006,42,2
1674314,42,1
117476,42,1
593295,42,3
1664667,42,1
13710,42,1
1661926,42,1
275212,42,1
1229362,42,1
826641,42,1
393367,42,4
1598460,42,1
1678531,42,1
1660169,42,1
411384,42,2
1488648,42,1
1664679,42,1
1516296,42,1
1261801,42,1
1672319,42,1
33957,42,2
46738,42,3
1685165,42,1
219917,42,2
389008,41,2
452952,41,1
432265,41,1
257740,41,4
2847281,41,1
876119,41,1
2799476,41,1
995965,41,1
273774,41,1
97486,41,2
1301041,41,2
1650078,41,1
1678290,41,1
63584,41,2
650714,41,1
906082,41,1
451578,41,1
841764,41,1
923841,41,2
447949,41,1
522768,41,2
425605,41,1
1382094,40,2
364405,40,1
1693369,40,1
1690351,40,2
910595,40,1
2796355,40,1
2410542,40,1
845639,40,1
1527463,40,1
447242,40,3
1683461,40,1
526853,40,2
1687551,40,1
850515,40,3
914070,40,1
781386,40,1
4721,40,3
914665,40,1
896076,40,1
1990769,40,1
493053,40,1
2492787,40,1
499666,40,2
901870,40,1
13385,40,1
1653101,40,1
1653103,40,1
81888,39,1
1507002,39,1
1638206,39,1
922760,39,1
1617933,39,2
32114,39,3
1677055,39,1
402494,39,3
841772,39,1
511108,39,1
438456,39,1
43095,39,2
835196,39,1
1670095,39,1
917926,39,1
2865910,39,1
1532793,39,1
1664707,39,1
1297026,39,2
449308,39,1
2799394,39,1
1497639,39,1
256373,39,1
455125,39,1
99796,38,2
114062,38,2
792838,38,1
34086,38,1
1686073,38,1
1295991,38,2
1809129,38,2
188842,38,3
2834128,38,1
363703,38,1
602217,38,2
1477370,38,3
26317,38,1
1428564,38,2
1183011,38,1
56560,38,1
2770814,38,1
1689260,38,1
69906,38,1
1501284,38,1
910357,38,1
455103,38,2
1351816,38,1
515850,38,3
725443,38,1
30064,38,1
1691938,37,1
922372,37,1
911210,37,1
1650762,37,2
894994,37,1
1513578,37,1
485578,37,3
887173,37,2
1691138,37,1
1542453,37,1
642564,37,2
451852,37,2
420144,37,1
1684746,37,1
2458081,37,1
922238,37,1
630902,37,2
2727060,37,1
1676429,37,1
19925,37,2
62523,37,2
1690443,37,1
34476,36,4
2585570,36,1
1687875,36,1
2754939,36,1
922635,36,2
36281,36,1
2847276,36,1
103610,36,3
1622501,36,1
426945,36,1
2659910,36,1
425713,36,2
2300830,36,1
244260,36,1
1679421,36,1
32597,36,3
450469,36,1
452990,36,3
452797,36,1
80832,36,4
76981,36,2
426814,36,1
1650689,36,1
201006,36,1
1688633,36,1
919780,36,2
937062,35,1
354160,35,2
44450,35,4
913262,35,1
218473,35,2
433578,35,1
1676422,35,1
29949,35,1
1683788,35,1
54003,35,4
1106795,35,2
917977,35,1
2750435,35,1
2575681,35,1
1561961,35,2
372880,35,2
2815581,35,1
182959,35,2
431103,35,3
1674351,35,1
916375,35,1
522945,35,1
1576974,35,1
33419,35,2
1687888,35,1
1752077,35,1
454000,35,1
1688879,35,1
365615,35,1
754116,35,2
1691933,35,1
1788072,35,1
2856631,35,1
1651306,35,1
452138,35,1
1273849,35,2
781301,35,1
1802927,34,1
275281,34,2
2825732,34,1
3003803,34,1
451445,34,2
903018,34,1
1676020,34,1
32604,34,1
1484400,34,1
143297,34,1
218539,34,2
25879,34,1
25298,34,2
613172,34,1
723116,34,3
151313,34,2
21209,34,4
773782,34,1
177473,34,1
96781,34,3
1369978,34,1
776201,34,2
382232,34,2
927660,34,2
922469,34,1
402342,34,2
453288,34,1
2711010,34,1
2795766,33,1
2730329,33,1
1653126,33,1
1660328,33,1
451678,33,1
1677200,33,2
889805,33,1
777398,33,2
74001,33,2
2809729,33,1
621200,33,2
452818,33,1
12564,33,1
32389,33,3
1677718,33,1
390652,33,1
924897,33,3
2740469,33,1
450431,33,1
922370,33,1
879418,33,1
2830482,33,1
516942,33,2
911887,33,2
29814,33,1
426555,33,1
914598,33,1
254706,33,4
451929,33,1
2685643,33,1
1501274,33,1
124073,33,2
445255,32,1
445461,32,2
1660374,32,1
911413,32,3
927372,32,2
888845,32,1
2545105,32,1
235833,32,3
2777214,32,1
1632163,32,1
182391,32,1
27625,32,3
2474838,32,1
703639,32,1
1675801,32,1
177080,32,3
1120329,32,1
1496400,32,1
246272,32,2
2773868,32,1
408214,32,3
3747,32,1
2742755,32,1
1277278,32,1
16663,32,1
1684216,32,1
151402,32,3
1677557,32,1
1479673,32,1
540069,32,2
255087,31,1
31080,31,1
2300821,31,1
2777453,31,1
1592525,31,1
1644970,31,1
1701313,31,1
911022,31,1
1677401,31,1
1299318,31,1
1693466,31,1
31511,31,4
499168,31,1
2750460,31,1
922631,31,1
1658879,31,1
1669656,31,1
795984,31,1
1666911,31,1
927863,31,1
1667673,31,1
723990,31,3
1484399,31,1
922655,31,1
1427418,31,2
1517194,31,2
1604542,31,1
1160336,31,1
540330,31,2
911781,31,2
2536917,31,1
923699,31,1
1544183,31,1
913260,31,1
269870,31,1
4915,31,1
155259,31,1
2846966,31,1
905807,30,2
219543,30,2
2818368,30,1
31696,30,1
844462,30,1
327960,30,1
917603,30,1
1544507,30,1
270160,30,2
853237,30,1
1692194,30,1
920550,30,2
2820657,30,1
1683263,30,1
587569,30,2
904859,30,3
841761,30,1
200152,30,1
1678021,30,1
1426003,30,1
157996,30,2
1636662,30,1
221522,30,1
1524947,30,2
2835310,30,1
447013,30,2
1670953,30,2
11792,30,1
402306,30,4
426017,30,1
33964,30,1
228087,30,2
32544,30,2
1673837,30,1
227998,30,1
147030,30,1
385008,30,3
1207602,30,1
428949,30,1
1667187,29,1
1692459,29,1
831689,29,1
1517995,29,1
452847,29,3
1544180,29,1
770986,29,1
808141,29,1
1665915,29,1
448304,29,1
1519740,29,1
1684105,29,1
1659322,29,1
2600671,29,1
750232,29,2
1653151,29,1
2758691,29,1
2600642,29,1
600790,29,3
1509664,29,1
270883,29,1
1682190,29,1
750075,29,2
521589,29,2
1687610,29,1
916101,29,1
91327,29,1
907299,29,1
17,29,1
1102357,29,1
910393,29,2
917599,29,1
936706,29,2
2850091,29,1
116021,29,1
97821,29,2
108698,29,1
163455,29,2
18329,29,2
31131,29,1
219791,29,1
248730,29,1
837581,29,2
6714,29,2
227567,29,3
2854212,29,1
622036,28,1
10264,28,3
36906,28,1
921731,28,1
2547124,28,1
741313,28,2
511785,28,1
435165,28,2
912520,28,3
1065491,28,1
1660360,28,1
732799,28,2
1528805,28,1
433000,28,1
1655231,28,1
1683677,28,1
2758689,28,1
1044972,28,2
455595,28,1
1516301,28,1
1683295,28,1
636048,28,1
1690226,28,1
914055,28,2
320386,28,3
2845989,28,1
1679239,28,1
1691077,28,1
2791346,28,1
33107,28,2
1569908,28,2
942449,28,1
952718,28,3
445431,28,4
910983,28,1
1591940,28,2
918584,28,1
537184,28,3
453103,28,1
2824652,28,1
1625730,28,1
1677745,28,1
1648378,28,1
522036,28,2
778979,28,2
47034,28,1
439173,28,2
653008,28,2
1692987,28,1
841132,28,1
916701,28,1
2827936,28,1
451627,28,2
915491,27,1
2820774,27,1
1321622,27,1
1670024,27,1
449570,27,1
2818861,27,1
2729441,27,1
402954,27,3
1683868,27,1
2848190,27,1
126063,27,4
2835633,27,1
452420,27,1
904481,27,1
385434,27,1
217386,27,2
21331,27,4
741080,27,1
773549,27,2
2835097,27,1
1263262,27,4
906476,27,2
1678072,27,1
218342,27,2
894424,27,2
1633578,27,1
923875,27,1
1650386,27,1
496481,27,1
1676023,27,1
1470496,27,2
1517007,27,1
2790720,27,1
910830,27,1
912588,27,1
910816,27,2
2304814,27,1
819219,27,1
2843124,27,1
657277,27,2
1688908,27,1
1684489,27,1
1687466,27,1
1499599,27,1
67124,27,2
2836966,27,1
513070,26,1
2725204,26,2
2573151,26,1
1444149,26,1
1691224,26,1
1680671,26,1
498508,26,3
2549135,26,1
1688093,26,1
276449,26,3
1684915,26,1
35644,26,1
239234,26,1
1518533,26,1
918645,26,1
31262,26,1
892220,26,1
444895,26,1
399403,26,2
1677046,26,1
664100,26,2
1676396,26,1
270365,26,1
2857337,26,1
757332,26,1
150462,26,2
888602,26,2
381842,26,1
917651,26,1
1276352,26,1
1628946,26,2
31167,26,2
20320,26,1
334449,26,3
37240,26,1
1603672,26,1
5806,26,1
2340,26,1
1684035,26,1
472177,26,1
1683659,26,1
910372,26,1
432911,26,2
433642,26,2
841781,26,1
149391,25,1
1656460,25,1
1687816,25,1
912525,25,1
2791348,25,1
1770258,25,1
439153,25,2
1687351,25,1
151132,25,1
2778755,25,1
919901,25,1
914874,25,1
65561,25,1
1173061,25,1
439154,25,1
1678508,25,1
931899,25,2
1674226,25,1
896046,25,1
1678949,25,1
2591282,25,1
2843550,25,1
63244,25,3
18108,25,1
1207305,25,1
1194194,25,1
32857,25,1
2706437,25,1
3152,25,2
1660332,25,1
1677484,25,1
2718737,25,1
154296,25,3
1465870,25,1
6689,25,3
2774197,25,1
451405,25,1
86412,25,3
1600421,25,1
996073,25,1
2791353,25,1
922653,25,1
2145884,25,2
913618,25,1
22565,25,3
1668251,25,1
1691164,25,1
920532,25,1
1604761,25,1
454423,25,2
1655305,25,1
41329,25,1
2833664,25,1
89190,25,3
919017,24,3
467042,24,2
2143961,24,1
532582,24,1
151662,24,3
572601,24,1
182342,24,1
749728,24,2
1678311,24,1
2852115,24,1
1365326,24,2
662120,24,1
453331,24,1
220509,24,2
772733,24,1
539040,24,1
1700563,24,1
917974,24,1
449051,24,1
2792988,24,1
770040,24,1
2768861,24,1
452166,24,1
910980,24,1
2790206,24,1
1382327,24,1
2621947,24,1
1283670,24,1
1593706,24,1
1683647,24,1
1683278,24,1
1674653,24,1
1225687,24,1
61862,24,1
1926458,24,2
2846752,24,1
1680730,24,1
1473845,24,1
219565,24,2
793237,24,1
852681,24,2
450772,24,1
77293,24,3
1672448,24,2
2770560,24,1
292993,24,2
798789,24,1
363278,24,2
439157,24,1
912294,24,1
2791328,24,1
1692578,24,1
2831479,24,1
2790876,23,1
2779909,23,1
1515283,23,1
97960,23,2
2849966,23,1
2778603,23,1
808806,23,3
246393,23,1
1164294,23,2
79909,23,1
922573,23,1
28402,23,1
65924,23,3
1583947,23,1
1311869,23,1
758556,23,3
1163777,23,2
2746816,23,1
2656798,23,1
1684847,23,1
539085,23,2
1650902,23,1
47617,23,1
1609893,23,1
922632,23,1
170429,23,1
2795728,23,1
447865,23,1
1663529,23,1
143871,23,3
695447,23,1
651291,23,1
456598,23,1
929166,23,1
450426,23,1
412145,23,1
1693140,23,1
1050492,23,2
213236,23,1
20831,23,2
44648,23,1
1675867,23,1
384701,23,1
251050,23,1
1437874,23,2
1672119,23,1
443169,22,1
1665873,22,1
1676572,22,1
737012,22,1
108045,22,2
1644852,22,1
1059076,22,1
1654746,22,1
38655,22,1
421152,22,1
907077,22,1
904814,22,1
450421,22,1
2508263,22,1
74040,22,3
2847125,22,1
2628700,22,1
1050380,22,1
1716539,22,1
915036,22,1
1660326,22,1
447948,22,1
1663746,22,1
403027,22,2
1886576,22,1
917967,22,1
916785,22,1
737295,22,3
757539,22,1
913950,22,1
1660336,22,1
2594375,22,1
1671764,22,1
825811,22,2
2709600,22,1
211702,22,1
1693477,22,4
22542,22,2
2758693,22,1
323780,22,3
2686433,22,1
1679308,22,1
4797,22,3
185558,22,1
2792383,22,1
923315,22,2
1509260,22,1
494449,22,2
341925,22,1
1683462,22,1
363340,22,1
1680584,22,2
2791349,22,1
874344,22,1
455053,22,1
9476,22,1
1500093,22,1
2787392,22,1
788371,22,2
890209,21,1
453250,21,1
909342,21,1
752288,21,1
1675993,21,1
2867016,21,2
450139,21,1
409985,21,2
2853175,21,1
452068,21,2
1691964,21,1
890918,21,1
906386,21,1
427159,21,2
414239,21,1
2833935,21,1
108763,21,4
333230,21,1
1161069,21,2
1802938,21,1
1425868,21,1
217967,21,1
103679,21,1
751558,21,2
1542326,21,3
1678769,21,1
914365,21,1
916709,21,1
430295,21,3
435588,21,1
729537,21,1
450453,21,1
432769,21,1
2792277,21,1
453119,21,1
76164,21,3
447475,21,2
439166,21,1
1505165,21,1
163810,21,4
452412,21,1
1677383,21,1
121580,21,2
656967,21,1
452445,21,1
918439,21,1
2559811,21,1
440694,21,1
64769,21,1
991111,21,3
2790725,21,1
24754,21,3
2575684,21,1
268608,21,1
1660350,21,1
69945,21,1
1660352,21,1
396293,21,2
914945,21,1
924014,21,1
28348,21,3
1509406,21,1
110948,21,1
54751,21,1
385459,21,1
1688961,21,1
1554250,21,2
516096,21,1
1659458,21,1
1587792,21,2
447866,21,1
1685803,21,1
1385131,21,1
279499,21,1
841759,21,1
1672236,20,1
1795234,20,1
2847304,20,1
993265,20,1
421844,20,1
426938,20,1
1792040,20,1
451493,20,3
919399,20,1
603707,20,1
1461304,20,1
2730843,20,1
855588,20,3
914993,20,1
1798801,20,1
901278,20,1
1677207,20,1
427168,20,1
1686155,20,1
2791335,20,1
1660313,20,1
1660318,20,1
439681,20,1
2791321,20,1
2785960,20,1
2839429,20,1
37257,20,1
2790759,20,1
1686801,20,1
1484683,20,1
1660372,20,1
443986,20,1
911023,20,1
922707,20,1
1659173,20,1
910405,20,1
2837815,20,1
841789,20,1
1484376,20,1
1656170,20,1
449615,20,2
224883,20,1
2792291,20,1
2836414,20,1
923149,20,1
477693,20,2
1150602,20,2
40549,20,2
795991,20,2
906149,20,1
455362,20,1
451492,20,1
1693012,20,1
2819762,20,1
1612498,20,1
572593,20,1
451700,20,1
399831,20,3
1412565,20,1
1640683,20,1
779424,20,1
549843,20,1
1678999,20,1
862290,20,2
890351,20,1
453020,20,2
1677403,20,2
198387,20,1
29248,20,1
137476,20,1
919211,20,1
1677146,20,1
1341606,20,1
2702545,20,1
1582991,20,1
170619,20,1
1441155,20,1
2825871,20,1
1677562,20,1
1566252,20,1
1677226,20,1
27331,20,1
1677555,20,1
1710246,20,1
2820725,20,1
918662,20,1
2826172,20,1
989237,20,1
1677228,20,1
123167,20,1
2857439,20,1
1655731,19,1
197625,19,1
913714,19,1
754473,19,1
317473,19,1
432333,19,2
720616,19,2
779863,19,1
1666984,19,1
1850654,19,1
797418,19,2
1691086,19,1
895176,19,1
914401,19,1
451226,19,1
1667495,19,1
1677618,19,1
454007,19,1
1684030,19,1
2762927,19,1
1660357,19,1
258200,19,3
1660367,19,1
1354404,19,1
72173,19,1
1660343,19,1
2790724,19,1
1484416,19,1
252600,19,2
1660331,19,1
2226560,19,1
2790760,19,1
1094256,19,2
697682,19,3
1693935,19,1
2791329,19,1
60628,19,1
545781,19,1
387948,19,2
1509917,19,1
1624070,19,1
460502,19,2
1684174,19,1
2391854,19,1
1030987,19,2
1411511,19,1
918644,19,1
451341,19,1
521635,19,3
1544174,19,1
18846,19,2
1454614,19,2
171166,19,4
934843,19,1
424830,19,1
216703,19,2
927215,19,2
854825,19,2
1214031,19,1
2832838,19,1
914894,19,1
508627,19,1
1674042,19,1
742280,19,1
33764,19,1
1447838,19,1
1691980,19,1
2562112,19,1
2809455,19,1
