identifier,sum,count
264427,124,11
132849,124,6
1239300,123,2
269952,123,6
1005353,123,6
25480,122,4
645378,121,7
330921,121,7
434305,121,7
10999,119,3
13370,118,7
1050698,117,7
810143,117,4
147487,117,7
460803,117,4
254706,117,7
2473401,116,7
9706,115,8
1027806,114,8
91922,114,8
622593,113,10
60643,112,4
317487,110,6
668224,110,5
2650187,110,8
782447,109,2
214993,109,3
110521,108,4
228955,108,6
33605,108,3
46415,107,4
373869,107,5
2423909,107,6
523371,106,7
497764,106,5
15419,105,4
429191,105,8
356291,105,5
9572,105,4
817462,105,5
336699,103,4
5327,103,4
143067,102,10
5179,102,8
522768,100,3
747022,100,9
917390,100,8
1441483,100,8
53860,99,5
1439513,98,10
6333,98,3
44845,98,4
61883,98,4
13200,97,8
488232,97,8
1005840,96,6
599476,96,2
1309897,96,8
370367,96,7
314610,95,8
427781,95,4
80993,94,5
213377,93,4
54686,92,2
892862,92,5
1722768,92,8
681834,92,4
20600,91,8
1194047,91,8
977825,90,8
38718,90,4
221981,90,4
155080,90,8
15796,89,9
140664,89,3
385008,88,4
59822,88,2
1024452,87,7
247683,87,4
121050,87,2
425568,87,4
1587701,86,2
286058,86,6
842874,85,8
952718,85,6
583493,85,5
169070,85,6
113881,85,5
33390,84,3
2626695,84,11
664459,84,3
275627,82,8
172345,82,2
980404,81,5
501584,81,3
84767,80,8
166761,80,10
791120,80,8
1653354,80,2
1301409,80,7
424633,80,8
527710,79,10
552664,79,5
657180,79,4
246983,79,5
1896177,79,6
764343,78,2
1142264,78,9
1013893,77,3
1653276,77,4
71302,77,8
541014,76,8
604948,76,8
24754,75,5
388712,75,4
2406841,75,3
1704325,74,1
112183,74,3
1052626,74,1
1665873,73,1
250566,73,10
18329,72,4
1118964,72,1
1167123,71,8
7353,71,8
123490,71,4
579740,71,8
745901,70,8
88577,70,4
270883,69,7
2380625,69,5
274326,69,2
13406,69,5
863991,69,3
1054256,68,7
9335,68,5
1125847,68,5
356115,68,6
385459,68,6
827082,67,7
1640555,67,2
20270,67,4
517712,67,7
448304,67,7
25718,66,7
32761,66,2
3376,66,8
147856,66,5
26610,66,7
453687,65,3
13979,65,6
1006407,65,3
486331,64,3
812002,64,5
1786169,64,5
762836,63,9
1160263,63,9
1305207,63,7
117921,63,8
16988,63,4
642,63,8
910,62,5
574531,62,9
2721932,62,7
2296918,62,7
506327,61,6
316492,61,4
20198,61,7
186163,61,6
447242,61,4
442526,60,7
46106,60,3
386641,60,4
1111376,60,8
1494485,59,4
25160,59,6
716924,59,5
38280,59,5
1276353,59,6
2527,59,7
643440,59,3
17711,59,7
268376,59,4
2928255,59,9
466325,58,8
621200,58,3
13444,58,5
1128085,57,3
1569595,57,3
155822,57,6
1297026,56,2
504456,56,8
102040,56,1
40229,56,3
1208365,55,7
2835215,55,5
1298821,55,3
10980,54,7
23696,54,4
153558,54,2
2588867,54,5
314738,54,6
297045,54,5
586628,54,5
220046,53,3
2131252,53,8
351,53,3
484431,53,4
1293450,53,10
104025,53,8
646850,52,2
521996,52,6
1567800,52,9
405746,52,3
1409176,52,7
134150,52,4
363703,52,3
1548805,52,4
250191,51,6
2835206,51,1
1537873,51,2
333666,51,6
723990,51,5
4079,51,7
2340,51,3
268608,50,4
1673632,50,10
199631,50,1
740345,50,2
350459,50,3
754116,49,5
517807,49,9
31367,49,4
33569,49,2
896325,49,2
146523,49,3
217900,49,2
81889,49,8
185467,49,3
384954,49,6
10015,49,2
34728,49,8
3152,48,4
34488,48,7
459714,48,7
324885,48,10
12158,48,2
811841,48,2
2558804,48,4
456853,47,8
1607900,47,2
402292,47,4
25948,47,1
1804733,47,7
6930,47,4
205071,47,5
1168695,47,4
1443386,46,3
1179,46,5
939093,46,2
960916,46,10
1557505,46,4
780527,46,8
1211102,45,2
50920,45,10
1694518,45,5
164021,45,4
697682,44,6
1524947,44,5
2465059,44,5
395425,44,6
81911,44,3
3113652,44,10
481366,44,4
449309,44,4
23091,44,5
137006,44,3
98904,43,6
1281815,43,4
276237,43,1
280431,43,4
17401,43,6
54003,43,4
330695,42,5
354,42,6
456270,42,6
764581,42,3
725272,42,3
6755,42,3
1948932,41,8
233217,41,8
462,41,6
317669,41,7
927660,41,2
947,41,3
417352,41,2
1853409,41,3
796473,41,2
451364,41,2
6689,41,4
57863,40,9
6869,40,4
737295,40,3
777244,40,8
199809,40,6
65794,40,6
765334,40,8
91500,40,3
1422753,40,3
306396,40,5
582536,40,7
64372,40,4
1102357,39,1
27908,39,6
127870,39,3
147592,39,7
2249019,39,9
36483,39,4
29066,39,2
2554773,39,9
1368710,39,4
12677,39,2
252388,38,6
837644,38,3
370785,38,6
145475,38,6
463754,38,2
36026,38,5
2032840,38,5
2000059,38,6
1009163,38,6
16490,38,9
20593,38,8
747974,38,4
278557,38,5
21370,38,6
15366,38,4
885619,38,2
328713,38,3
1790012,37,6
368812,37,2
108450,37,8
121203,37,7
320666,37,6
2307150,37,6
3320,37,2
464262,37,3
11861,37,6
302562,37,8
3223,37,2
42513,37,6
735021,36,4
2618071,36,1
453052,36,1
121021,36,7
217901,36,8
6743,36,5
724460,36,8
29074,36,3
516849,36,4
1660725,36,6
999066,36,6
601707,36,6
629749,35,4
722342,35,7
724346,35,6
322026,35,7
206709,35,6
33609,35,7
1949410,35,4
1040988,35,7
258652,35,6
907770,35,2
19674,35,6
315241,35,2
1835073,34,2
19971,34,4
18469,34,1
779181,34,2
293881,34,4
1693477,34,5
49094,34,7
776740,34,7
4259,34,7
85164,34,6
995608,34,3
648432,34,7
282658,34,4
33520,34,4
420716,34,4
1254600,34,5
749221,34,7
63000,34,8
1050582,34,4
849813,34,7
2450498,34,6
534826,34,5
1020372,33,5
755672,33,5
813393,33,2
709807,33,4
433280,33,2
7581,33,1
2886414,33,1
9638,33,3
213330,32,4
17796,32,6
169494,32,3
420289,32,2
31034,32,4
2116455,32,10
2076689,32,4
2067975,31,7
1641168,31,1
1050620,31,3
72880,31,7
108763,31,5
1065672,31,6
8060,31,4
139257,31,8
209195,31,2
123167,31,3
154824,31,2
155444,30,4
305,30,8
34026,30,2
65083,30,2
2175625,30,3
1390992,30,4
347228,30,4
7757,30,5
384718,30,7
1259202,30,7
147884,30,2
2511622,30,3
109346,30,5
693506,29,3
1909106,29,10
288559,29,4
394321,29,3
1069564,29,3
111330,29,6
399516,29,6
1496400,29,4
56848,29,7
266181,29,6
116021,29,3
31080,29,2
1517204,29,6
601423,29,6
73504,29,4
788371,29,4
1731998,29,5
1585942,29,2
1668529,28,1
1229743,28,4
367383,28,7
396293,28,5
423042,28,1
2032730,28,8
905807,28,2
30820,28,1
736005,28,5
68722,28,5
8882,28,9
2854212,28,1
63792,28,8
181537,28,7
762683,27,6
1322096,27,9
744712,27,5
1430725,27,6
2738668,27,4
271754,27,3
29091,27,7
1193914,27,1
816909,27,3
292489,27,4
969371,27,1
2631775,27,2
537184,27,3
2368707,26,3
4005,26,3
431103,26,4
1214168,26,6
430671,26,9
61862,26,4
290485,26,7
1996454,26,2
112851,26,5
1716964,26,5
923113,26,3
1423323,26,2
2331254,26,7
2107202,26,2
2806054,26,1
452693,26,6
384930,26,3
571354,26,1
84719,26,5
409663,26,2
213971,25,4
2811891,25,1
627895,25,2
1577733,25,6
97821,25,2
426793,25,4
931458,25,4
443199,25,5
805798,25,5
1293988,25,3
448796,25,3
718846,25,3
217057,25,7
1591079,25,2
65539,25,5
522203,24,4
716083,24,5
907159,24,2
899639,24,7
910492,24,2
29814,24,1
743476,24,3
771325,24,7
17521,24,7
1234247,24,9
660596,24,3
215364,24,6
1384157,24,3
38974,24,3
806332,24,3
1271780,24,6
6316,24,3
724795,24,5
495142,24,8
410178,24,4
385982,24,2
65554,24,3
105240,24,8
468579,24,3
124073,24,2
1402207,23,4
603570,23,1
2181824,23,1
210688,23,3
458755,23,3
1484582,23,2
435165,23,2
27212,23,4
27047,23,8
2987037,23,8
1686887,23,2
416546,23,3
167064,23,4
513187,23,6
1445795,23,7
724908,23,3
450494,23,4
31076,23,4
29864,23,3
243850,23,3
629554,22,2
228087,22,3
643758,22,4
187480,22,8
202818,22,3
1471487,22,2
4857,22,3
1883551,22,7
16743,22,4
1509945,22,2
3735,22,4
910401,22,1
249809,22,2
17380,22,3
483810,22,4
168545,22,9
34687,22,4
726233,22,2
147672,22,7
477431,21,9
104877,21,3
403949,21,4
1769719,21,3
34476,21,4
1446013,21,4
1178532,21,2
2659036,21,5
171166,21,4
1425953,21,6
749022,21,5
172,21,7
307976,21,3
295807,21,2
1412565,21,5
641347,21,5
459300,21,4
691642,21,5
729537,21,1
1304002,21,3
230072,21,2
1106349,21,6
31507,21,3
1666585,21,2
529538,21,1
45712,21,6
637016,21,3
53702,20,8
473359,20,5
813284,20,1
252354,20,8
152024,20,3
1386139,20,4
738432,20,5
450483,20,3
378320,20,2
1336508,20,5
8614,20,5
646224,20,5
1449526,20,3
366113,20,3
1074206,20,3
1731167,20,2
137476,20,1
223005,20,4
1154385,20,3
911612,20,8
547487,20,2
993211,20,3
429066,20,8
1252377,20,4
349220,20,4
2111627,20,3
726089,20,1
2873,20,6
419411,20,4
2423862,20,2
1344503,20,4
3098,20,2
183068,20,1
79909,20,1
946421,20,3
43591,20,8
422786,19,1
1604677,19,1
44387,19,5
677392,19,4
3638742,19,8
741542,19,2
2254300,19,5
521365,19,7
1578776,19,2
1617933,19,2
155951,19,4
835060,19,2
1195388,19,2
218473,19,3
16460,19,4
248039,19,2
402954,19,3
2747734,19,6
182959,19,2
2404803,19,7
7504,19,7
12867,19,3
32563,19,2
212655,19,5
94216,19,2
2426747,19,3
50256,19,4
39713,19,6
933,19,1
2273268,18,4
411515,18,5
1683411,18,2
752052,18,3
432270,18,7
623286,18,2
969095,18,3
269084,18,2
796174,18,4
1011812,18,3
31833,18,1
2554087,18,2
263075,18,6
1548062,18,5
799212,18,4
1502858,18,3
757388,18,3
2204280,18,3
1588724,18,4
470201,18,7
2435044,18,4
1858609,18,1
16576,18,6
1915194,18,4
1422818,18,3
2335168,18,2
1440786,18,4
363007,18,3
30825,18,4
20922,18,4
740274,18,4
227567,18,3
173306,18,1
866533,18,2
1814657,18,4
433687,17,2
1427418,17,3
29323,17,4
4797,17,3
1490864,17,6
647854,17,5
1713701,17,3
741877,17,6
1705930,17,7
28364,17,7
615980,17,3
2580,17,4
539881,17,2
2829130,17,1
1748559,17,2
281999,17,4
737782,17,2
1360697,17,3
1475331,17,7
20203,17,3
26296,17,3
175837,17,7
2846692,17,3
321586,17,1
1952678,17,5
1369015,17,3
205708,17,4
2108800,17,3
1920385,17,3
205067,17,3
38698,17,4
783022,16,3
887771,16,2
331926,16,8
204561,16,3
86081,16,3
84276,16,4
778825,16,3
2589272,16,3
600790,16,4
1698887,16,2
729195,16,4
1634191,16,2
26992,16,2
1546239,16,3
794812,16,3
447475,16,2
63043,16,5
1600379,16,2
738947,16,7
1022225,16,4
397632,16,6
1985187,16,1
1202015,16,2
652482,16,3
435598,16,3
16925,16,2
1012326,16,4
1099152,16,4
71497,16,2
164822,15,4
764494,15,7
860826,15,2
228173,15,4
274345,15,3
898720,15,2
975206,15,5
1717105,15,7
306481,15,3
1493700,15,6
976250,15,5
184144,15,1
228699,15,4
232380,15,2
173183,15,4
900683,15,1
248231,15,3
1395828,15,3
1533115,15,4
911227,15,2
353381,15,3
913281,15,3
946567,15,3
1705077,15,1
1678955,15,7
1514232,15,3
1741810,15,3
1373789,15,4
1380746,15,1
1955525,15,2
235486,15,2
1687531,15,1
1482669,15,7
2101065,15,1
2792059,15,4
30502,15,2
28688,15,6
703696,15,4
390160,15,3
2326286,15,7
520840,15,4
2812261,15,4
32389,15,3
18226,15,1
2283905,15,1
536751,15,5
1151838,15,5
14047,15,5
1152832,15,2
1626,15,3
3342,15,4
1178404,15,6
1282686,15,5
1170577,15,2
382370,15,8
420537,15,6
549,15,3
1229745,14,5
20291,14,4
140612,14,3
526329,14,4
1089056,14,8
526666,14,3
2527017,14,2
1134714,14,2
48289,14,1
748372,14,5
204678,14,6
1451786,14,3
447983,14,3
119921,14,3
398240,14,1
790453,14,2
447269,14,4
779571,14,3
829338,14,2
779051,14,7
773414,14,7
1868836,14,5
505328,14,3
732799,14,2
29935,14,4
709032,14,4
173577,14,6
27539,14,3
2757317,14,3
411384,14,2
1040983,14,4
183998,14,4
60758,14,2
2537479,14,1
23647,14,2
195878,14,2
22565,14,3
2331540,14,2
1462045,14,4
18701,14,8
749410,14,2
407448,14,4
7580,14,6
262301,14,2
282384,14,2
403933,14,4
403853,14,4
1467267,14,3
7893,14,2
1351029,14,2
402306,14,4
24338,13,5
752343,13,2
554554,13,2
293449,13,5
2045841,13,7
342643,13,5
266196,13,3
4493,13,4
745274,13,4
19715,13,5
5692,13,5
2729386,13,3
1463753,13,3
289392,13,6
298425,13,2
754002,13,1
42615,13,2
1732717,13,4
1721383,13,1
79677,13,2
2530516,13,1
38482,13,4
81038,13,2
454405,13,2
2408849,13,4
382378,13,4
35644,13,3
1084957,13,2
384701,13,1
473939,13,2
278660,13,4
1791447,13,4
1584261,13,2
309476,13,4
216259,13,2
449036,13,1
749118,13,2
242824,13,5
634664,13,2
1158723,13,6
2845007,13,1
422579,13,3
1341402,13,5
94025,13,3
218213,13,2
974070,12,7
1178311,12,4
409074,12,1
1314854,12,4
1476490,12,3
2726846,12,2
1881456,12,4
1708450,12,1
28258,12,4
850792,12,1
38644,12,4
165479,12,2
3338687,12,5
797418,12,2
642564,12,3
150629,12,2
776526,12,6
1210028,12,5
741561,12,1
70032,12,5
8094,12,1
494707,12,3
3394545,12,3
454278,12,2
53395,12,4
405804,12,2
564321,12,5
115757,12,3
625205,12,2
784631,12,3
6757,12,2
1530903,12,1
19435,12,5
1529103,12,2
5420,12,2
43772,12,4
366926,12,3
659689,12,3
1247575,12,4
22504,12,2
1744345,12,5
1515630,12,3
26121,12,1
182047,12,3
2015364,12,3
2859041,12,2
2834191,12,1
792636,12,2
1077222,12,2
2763111,12,1
1342672,12,4
2843576,12,1
1167568,11,3
8706,11,6
1382327,11,1
129985,11,2
2480175,11,4
714,11,4
1567280,11,3
349892,11,5
131584,11,3
445370,11,2
37319,11,3
252932,11,3
599784,11,4
1554588,11,1
1013268,11,6
46738,11,3
2879537,11,1
209231,11,2
207448,11,3
205018,11,4
1472247,11,2
1636069,11,2
1138587,11,5
890031,11,3
887173,11,4
913104,11,3
1140282,11,5
1436999,11,6
1009535,11,3
1430839,11,2
616669,11,4
607522,11,3
1669979,11,1
607030,11,1
972936,11,4
847193,11,2
173230,11,3
221575,11,2
499995,11,2
448988,11,3
2661419,11,4
32869,11,1
818374,11,5
2617284,11,2
2575248,11,1
862438,11,3
367038,11,6
1330762,11,6
1336731,11,5
1375855,11,2
1309931,11,6
752618,11,4
53540,11,2
1079214,11,6
1873085,11,4
747360,11,5
53859,11,1
1343198,11,1
1392649,10,3
1136170,10,3
1650762,10,3
392327,10,4
1101482,10,3
1606615,10,1
826641,10,1
447945,10,2
1597273,10,2
1656262,10,1
13284,10,5
230350,10,2
70362,10,4
1566366,10,4
9815,10,2
242610,10,3
2001523,10,4
758556,10,5
363448,10,2
1792422,10,3
893125,10,2
2744469,10,1
55236,10,5
494608,10,4
152427,10,4
1108547,10,1
385212,10,1
386198,10,4
30649,10,2
491170,10,7
842726,10,2
174643,10,4
688188,10,4
850893,10,3
2752672,10,1
27227,10,5
26473,10,6
513878,10,1
861602,10,1
2347950,10,5
883012,10,4
246848,10,2
617101,10,3
15162,10,1
264913,10,3
424109,10,4
755392,10,2
74597,10,3
263487,10,1
1500383,10,3
2492,10,2
1185504,10,3
460074,10,3
553242,10,3
1516363,10,2
404218,10,1
47594,10,2
750075,10,2
756725,10,2
403851,10,3
3499,10,3
1527761,10,3
2168408,10,4
1471471,10,3
250450,10,4
6578,10,3
80832,10,5
377,10,5
791925,10,5
6097,10,4
6690,10,6
2886355,10,1
281431,10,4
355652,10,2
5643,10,8
461458,9,4
32603,9,4
770034,9,1
1673401,9,3
2754606,9,4
370296,9,3
108698,9,2
151761,9,1
286366,9,2
3090,9,5
175865,9,4
1509124,9,4
154296,9,2
1502573,9,4
709489,9,3
1115,9,3
30731,9,4
437361,9,2
773740,9,3
839257,9,1
1684370,9,2
31570,9,2
560529,9,4
1680500,9,1
1161364,9,2
702174,9,2
868220,9,4
2832109,9,7
217967,9,2
915251,9,3
648050,9,1
2262440,9,3
916826,9,2
258200,9,4
14331,9,3
13445,9,2
13355,9,3
946388,9,2
1576569,9,2
1196455,9,4
934764,9,3
2880578,9,2
17092,9,4
614374,9,4
1638987,9,2
21209,9,4
1084959,9,2
1252614,9,1
245719,9,3
22624,9,3
612949,9,5
678997,9,3
206963,9,4
961426,9,5
208028,9,3
20831,9,4
321537,9,4
673365,9,3
549875,9,1
1645653,9,2
151662,9,4
904914,9,3
118152,9,4
2542637,9,4
1802927,9,1
1301041,9,2
147491,9,2
39672,9,4
2427572,9,2
1719032,9,1
2442028,9,2
1719519,9,1
485578,9,3
235330,8,2
760339,8,5
1625655,8,1
313990,8,3
1620314,8,4
1677488,8,2
1172101,8,2
310151,8,3
174075,8,3
1893882,8,3
1453678,8,6
14811,8,4
793005,8,5
448450,8,3
1579517,8,1
364405,8,2
508088,8,3
1589594,8,1
306802,8,2
623412,8,2
228243,8,4
1261247,8,3
759048,8,3
1048488,8,1
305051,8,2
399831,8,4
168853,8,1
539598,8,3
426549,8,1
218259,8,1
381998,8,4
2359614,8,5
522036,8,3
422229,8,3
2540843,8,3
799101,8,2
416813,8,3
898798,8,2
924523,8,2
1922575,8,3
201407,8,3
327960,8,2
452105,8,3
2782355,8,1
1116208,8,1
2536814,8,3
330022,8,1
747374,8,3
1650502,8,2
765592,8,2
1646293,8,4
50494,8,3
1396564,8,3
66366,8,2
176684,8,3
27625,8,3
2829168,8,1
66538,8,2
2830822,8,1
1398826,8,6
1445969,8,2
395895,8,4
1569318,8,2
16603,8,1
866783,8,2
3270248,8,3
1266681,8,6
2516701,8,2
134633,8,4
939434,8,4
1193026,8,2
2692697,8,1
1524242,8,3
740909,8,5
387066,8,2
1476513,8,2
419153,8,3
455440,8,2
2580310,8,2
273618,8,4
266742,8,4
2481900,8,4
267639,8,6
2945458,8,2
3014019,8,3
785914,8,2
270500,8,3
827979,8,2
567145,8,6
79343,8,2
971468,8,3
570021,8,3
1468416,8,1
91327,8,4
582773,8,4
425,8,1
1016196,8,2
1097120,8,4
1418314,8,1
741615,8,6
754510,8,2
1783503,8,5
1908828,7,5
1648840,7,1
76855,7,4
323851,7,1
23556,7,3
452067,7,4
2295547,7,2
1660397,7,2
408055,7,2
187268,7,3
423501,7,3
1442912,7,1
883351,7,3
81949,7,3
79697,7,1
683711,7,3
669268,7,2
22589,7,4
323780,7,3
1659797,7,3
280979,7,4
436984,7,3
216076,7,5
21315,7,1
894866,7,2
81668,7,5
288282,7,2
278189,7,2
2304814,7,1
1775428,7,2
1929695,7,4
393367,7,4
1821664,7,2
2526349,7,4
100933,7,3
371579,7,3
936706,7,2
1468875,7,4
1543321,7,1
540499,7,4
516268,7,4
2437805,7,2
1363323,7,1
758133,7,1
1365088,7,2
626605,7,4
97486,7,5
1731739,7,1
1553779,7,2
446984,7,3
136877,7,1
758552,7,2
2862159,7,1
485165,7,2
10201,7,3
1566405,7,2
937036,7,2
943810,7,1
351180,7,1
449877,7,3
1383870,7,2
795034,7,2
1809129,7,2
455162,7,2
98355,7,3
218710,7,2
1623532,7,2
264009,7,5
2920001,7,4
1521683,7,4
643225,7,2
2839029,7,2
132487,7,4
15238,7,1
140881,7,5
14990,7,3
1603226,7,3
221979,7,2
309220,7,3
1149476,7,4
86100,7,3
819219,7,1
772305,7,3
33964,7,1
145200,7,4
828443,7,3
56029,7,5
1869651,7,2
1410487,7,3
835025,7,3
770005,7,2
806485,7,2
736127,7,3
26738,7,3
181940,7,3
161086,7,3
166257,7,2
1257252,7,1
743099,7,2
840261,7,4
168351,7,4
1885728,7,2
507847,7,5
2737697,7,3
1676425,7,1
1258694,7,1
453094,7,1
2385296,7,4
850515,7,3
1288054,7,1
849786,7,1
1113283,7,1
1413806,7,1
32764,7,2
825567,7,5
2621947,7,3
818859,7,2
3231537,6,2
561,6,4
1281677,6,3
39660,6,5
94819,6,4
229380,6,2
634681,6,3
286991,6,3
12510,6,2
11673,6,2
630365,6,5
169081,6,1
1997826,6,3
725443,6,2
1576945,6,2
58139,6,6
923147,6,3
3553070,6,5
113600,6,3
30479,6,3
1726609,6,4
426185,6,3
2080079,6,3
1564477,6,1
748940,6,1
1084107,6,2
1563867,6,4
49977,6,3
396990,6,3
822226,6,2
2464414,6,1
650771,6,4
1623218,6,1
314476,6,4
450053,6,3
28348,6,3
15723,6,2
1147339,6,1
449533,6,2
1480650,6,2
174139,6,2
1713896,6,2
2844662,6,1
431145,6,2
1043485,6,2
222263,6,5
1479928,6,1
762008,6,3
1399239,6,1
1676314,6,1
1591915,6,2
1985181,6,2
96444,6,3
2719080,6,1
245009,6,2
152848,6,1
2020197,6,2
836633,6,2
749807,6,2
262841,6,3
593295,6,3
1410956,6,2
34086,6,2
1384523,6,5
455388,6,3
1213,6,4
1514649,6,3
833117,6,4
2399135,6,1
815683,6,2
773549,6,3
276276,6,4
1453,6,1
2588520,6,3
969425,6,4
269870,6,1
44450,6,4
976601,6,1
606457,6,2
1474963,6,1
126823,6,1
384107,6,4
1010967,6,3
1525980,6,3
776534,6,2
616107,6,3
825811,6,2
8510,6,4
1556854,6,2
444009,6,2
8488,6,1
1416928,6,3
165717,6,2
2567895,6,2
2879362,6,1
417953,6,1
1104183,6,3
934538,6,1
2484134,6,3
16735,6,2
988575,6,4
2886126,6,1
1385555,6,5
2438113,6,3
749714,6,2
1470922,6,2
1529141,6,2
738948,6,2
44783,6,3
77293,6,3
770053,6,1
866528,6,3
65561,6,2
1369978,6,1
896705,6,1
107253,6,4
1659033,6,1
747502,6,2
911375,6,2
895905,6,2
769865,6,1
60484,6,1
142166,6,4
851319,6,2
1637419,6,2
1030528,6,2
2332947,6,1
454365,6,4
99796,6,3
27263,6,3
1431162,6,4
899052,6,1
452267,6,3
2459638,6,1
702299,6,2
676508,6,4
860319,6,4
2797539,6,1
416706,6,1
19563,6,5
485443,6,3
1092190,6,1
115788,6,3
19120,6,3
1096943,6,1
2788422,6,3
18846,6,2
1095922,6,1
108876,6,3
66558,6,2
872429,6,3
1138701,6,2
62388,6,2
705929,6,1
1138958,6,1
190336,6,3
879015,6,2
948871,5,2
1354686,5,4
42794,5,4
73478,5,4
2889604,5,2
257740,5,4
1803020,5,3
452096,5,1
440881,5,1
440904,5,3
736966,5,3
2420521,5,1
77126,5,4
1477605,5,4
2902348,5,2
4939,5,3
31511,5,4
1052771,5,3
36130,5,4
261480,5,2
824691,5,3
1521850,5,1
825479,5,1
4784,5,3
640,5,1
961528,5,3
1163916,5,2
5180,5,3
2033390,5,2
31243,5,2
2881041,5,1
163810,5,4
1057949,5,2
1012910,5,2
1856381,5,2
181,5,3
1402798,5,1
175484,5,4
866260,5,3
1542759,5,4
48420,5,4
89190,5,3
3765410,5,2
1739755,5,2
2087981,5,1
677840,5,3
838793,5,2
6624,5,4
72173,5,1
547500,5,4
20685,5,2
2886311,5,1
1353485,5,1
343333,5,3
1193035,5,2
441699,5,2
160076,5,1
774330,5,2
1440491,5,3
1927245,5,2
426017,5,2
836114,5,2
32544,5,2
200077,5,4
126063,5,4
1505568,5,4
754958,5,4
1184734,5,3
555180,5,3
1103606,5,5
561051,5,1
975211,5,2
409613,5,2
379998,5,3
433595,5,3
274968,5,2
422892,5,1
2476805,5,2
2353676,5,3
1700701,5,1
438428,5,3
1700617,5,1
1437570,5,2
1371496,5,2
184562,5,1
599593,5,3
818059,5,3
1698628,5,2
195291,5,3
986428,5,2
987898,5,4
1345264,5,1
2656154,5,3
277496,5,2
1254709,5,1
767225,5,2
2759938,5,1
789469,5,2
2172750,5,1
408583,5,2
1515309,5,1
265595,5,2
1657037,5,4
1277278,5,2
47230,5,4
22513,5,4
457568,5,2
385613,5,2
788316,5,2
52316,5,4
1658045,5,2
787609,5,3
2518379,5,4
787214,5,2
1032700,5,3
3290,5,2
201119,5,2
1666166,5,1
756058,5,2
433429,5,1
1254977,5,1
992892,5,2
590232,5,4
1625933,5,4
181855,5,4
318516,5,3
1845772,5,2
527980,5,2
918798,5,2
1366416,5,2
1638639,5,3
307268,5,3
350680,5,3
1590025,5,2
454176,5,1
171454,5,3
216610,5,1
18222,5,4
2290279,5,1
1420389,5,4
919599,5,1
1467957,5,4
93578,5,3
454967,5,4
1429048,5,1
11840,5,3
1676838,5,2
452423,5,4
1460996,5,3
304764,5,2
2820331,5,1
512555,5,1
921545,5,1
1342104,5,3
1260672,5,2
2816324,5,2
1461297,5,1
1593173,5,2
1973881,5,2
708958,5,2
706931,5,2
1956264,5,3
1030189,5,1
1026966,5,2
653008,5,2
430240,5,2
98101,5,1
1426876,5,2
