identifier,ident_count,city,year
904797,1,London,2018
905444,1,London,2018
906050,1,London,2018
908315,1,London,2018
908569,1,London,2018
908915,1,London,2018
909111,1,London,2018
910816,1,London,2018
911115,1,London,2018
911337,1,London,2018
911413,1,London,2018
911520,1,London,2018
911995,1,London,2018
912217,1,London,2018
913787,1,London,2018
1,1,London,2018
147030,185,London,2019
894051,112,London,2019
160,111,London,2019
1599036,107,London,2019
599476,80,London,2019
677256,76,London,2019
29729,72,London,2019
664459,57,London,2019
1598908,49,London,2019
1005840,44,London,2019
1082970,43,London,2019
811841,43,London,2019
1125847,41,London,2019
796473,39,London,2019
885619,37,London,2019
1653354,36,London,2019
1006407,33,London,2019
1297026,31,London,2019
97992,30,London,2019
351,26,London,2019
137006,25,London,2019
1002688,25,London,2019
1484582,22,London,2019
464262,22,London,2019
350459,21,London,2019
726089,20,London,2019
766577,20,London,2019
3320,20,London,2019
1509945,20,London,2019
419371,19,London,2019
425992,17,London,2019
385982,17,London,2019
43815,16,London,2019
140664,16,London,2019
180811,15,London,2019
1530852,14,London,2019
1920385,13,London,2019
346436,13,London,2019
783022,13,London,2019
1835073,13,London,2019
2413764,12,London,2019
1422753,12,London,2019
1142264,12,London,2019
26121,12,London,2019
726060,11,London,2019
999066,11,London,2019
1554588,11,London,2019
1790012,11,London,2019
1769719,11,London,2019
703773,11,London,2019
2554773,11,London,2019
1853409,10,London,2019
382378,10,London,2019
155951,10,London,2019
169494,10,London,2019
1375855,10,London,2019
1430839,10,London,2019
1722768,10,London,2019
1656262,10,London,2019
2626695,10,London,2019
3098,10,London,2019
699883,10,London,2019
1439513,10,London,2019
854537,9,London,2019
242224,9,London,2019
1546239,9,London,2019
1680500,9,London,2019
1369015,9,London,2019
1056080,8,London,2019
725272,8,London,2019
440756,8,London,2019
1589594,8,London,2019
330022,8,London,2019
1831095,8,London,2019
1106349,7,London,2019
2928255,7,London,2019
1363323,7,London,2019
17695,7,London,2019
743476,7,London,2019
1638987,7,London,2019
960916,7,London,2019
2067975,7,London,2019
1257252,7,London,2019
1463753,7,London,2019
1453,6,London,2019
1138958,6,London,2019
1096943,6,London,2019
1451786,6,London,2019
1623532,6,London,2019
911227,6,London,2019
166761,6,London,2019
11861,6,London,2019
2426747,6,London,2019
1167568,6,London,2019
1314854,6,London,2019
1476490,6,London,2019
1676314,6,London,2019
1325862,5,London,2019
883351,5,London,2019
1410956,5,London,2019
1553779,5,London,2019
353381,5,London,2019
1365659,5,London,2019
785914,5,London,2019
1480650,5,London,2019
384930,5,London,2019
615980,5,London,2019
1395828,5,London,2019
1365088,5,London,2019
1138701,5,London,2019
1293450,5,London,2019
1922575,5,London,2019
1161364,5,London,2019
