observer,obs_count,city,year
2839029,2,London,2020
2875114,2,London,2020
3476388,2,London,2020
2840072,2,London,2020
2839571,2,London,2020
3564330,2,London,2020
2840706,2,London,2020
1304002,1,London,2020
2844907,1,London,2020
2846790,1,London,2020
1633605,1,London,2020
1637124,1,London,2020
1292442,1,London,2020
1643421,1,London,2020
1412492,1,London,2020
2849858,1,London,2020
1646196,1,London,2020
1404054,1,London,2020
1376060,1,London,2020
2840255,1,London,2020
2840113,1,London,2020
2850349,1,London,2020
2850271,1,London,2020
2850282,1,London,2020
1474650,1,London,2020
2842988,1,London,2020
1477577,1,London,2020
2843911,1,London,2020
2841517,1,London,2020
1615151,1,London,2020
1619287,1,London,2020
1619321,1,London,2020
1614645,1,London,2020
1613973,1,London,2020
1621852,1,London,2020
2840700,1,London,2020
1613879,1,London,2020
2841705,1,London,2020
2850673,1,London,2020
2841764,1,London,2020
1622329,1,London,2020
2840638,1,London,2020
2842034,1,London,2020
2842197,1,London,2020
2840494,1,London,2020
1545800,1,London,2020
1541108,1,London,2020
1630902,1,London,2020
2842752,1,London,2020
2841020,1,London,2020
2843142,1,London,2020
2783321,1,London,2020
1137074,1,London,2020
1261255,1,London,2020
554669,1,London,2020
878919,1,London,2020
2860766,1,London,2020
2862031,1,London,2020
2862214,1,London,2020
2864879,1,London,2020
781146,1,London,2020
749759,1,London,2020
2865055,1,London,2020
663534,1,London,2020
2867114,1,London,2020
660439,1,London,2020
2874324,1,London,2020
634706,1,London,2020
541069,1,London,2020
2850690,1,London,2020
2882274,1,London,2020
2891238,1,London,2020
2916730,1,London,2020
357859,1,London,2020
2939293,1,London,2020
2952383,1,London,2020
2982592,1,London,2020
270500,1,London,2020
2986788,1,London,2020
3000290,1,London,2020
3018304,1,London,2020
3105965,1,London,2020
3639007,1,London,2020
2860754,1,London,2020
2860690,1,London,2020
2860536,1,London,2020
892873,1,London,2020
1241637,1,London,2020
1232381,1,London,2020
1199273,1,London,2020
2851133,1,London,2020
1145001,1,London,2020
1141045,1,London,2020
2840034,1,London,2020
1099467,1,London,2020
2851509,1,London,2020
1023411,1,London,2020
1000317,1,London,2020
2852033,1,London,2020
974051,1,London,2020
2852660,1,London,2020
2853995,1,London,2020
2854224,1,London,2020
2854456,1,London,2020
2854582,1,London,2020
2854993,1,London,2020
912217,1,London,2020
2859270,1,London,2020
2859607,1,London,2020
2859681,1,London,2020
2859891,1,London,2020
2860101,1,London,2020
898161,1,London,2020
897857,1,London,2020
2840052,1,London,2020
2839172,1,London,2020
1666394,1,London,2020
2665033,1,London,2020
2723999,1,London,2020
2720449,1,London,2020
2720331,1,London,2020
2814870,1,London,2020
2713027,1,London,2020
2712311,1,London,2020
2699071,1,London,2020
2695354,1,London,2020
2818962,1,London,2020
2821467,1,London,2020
2683740,1,London,2020
2678982,1,London,2020
2678730,1,London,2020
2662498,1,London,2020
2729292,1,London,2020
2824300,1,London,2020
2637666,1,London,2020
2624089,1,London,2020
2824900,1,London,2020
2589716,1,London,2020
2585090,1,London,2020
2556351,1,London,2020
2547814,1,London,2020
2544846,1,London,2020
2537651,1,London,2020
2505672,1,London,2020
2826298,1,London,2020
2826630,1,London,2020
2814801,1,London,2020
2734942,1,London,2020
